drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Bimzelx,(bimekizumab-bkzx)  Injection,"October 17, 2023","UCB, Inc.",Plaque Psoriasis
Combogesic IV,(acetaminophen and ibuprofen)  Injection,"October 17, 2023",AFT Pharmaceuticals Ltd.,Postoperative Pain
Qlosi,(pilocarpine hydrochloride)  Ophthalmic Solution  - formerly CSF-1,"October 17, 2023",Orasis Pharmaceuticals,Presbyopia
Xphozah,(tenapanor)  Tablets,"October 17, 2023","Ardelyx, Inc.",Hyperphosphatemia of Renal Failure
Zilbrysq,(zilucoplan)  Injection,"October 17, 2023","UCB, Inc."
Velsipity,(etrasimod)  Tablets,"October 12, 2023",Pfizer Inc.,Ulcerative Colitis
Technegas ,Technegas (technetium Tc 99m carbon)  Inhalation Aerosol,"September 29, 2023",Cyclopharm Limited,Diagnosis and Investigation
Rivfloza,(nedosiran)  Injection,"September 29, 2023",Novo Nordisk,Primary Hyperoxaluria
Tofidence,(tocilizumab-bavi)  Injection,"September 29, 2023",Biogen Inc.,"Rheumatoid Arthritis, Polyarticular Juvenile Idiopathic Arthritis, Juvenile Idiopathic Arthritis"
Exxua,(gepirone)  Extended-Release Tablets,"September 22, 2023",Fabre-Kramer Pharmaceuticals Inc.,Major Depressive Disorder
Pombiliti,(cipaglucosidase alfa-atga)  Lyophilized Powder for Injection,"September 28, 2023",Amicus Therapeutics,Pompe Disease
Ryzumvi,(phentolamine mesylate)  Ophthalmic Solution  - formerly Nyxol,"September 25, 2023","Ocuphire Pharma, Inc.",Reversal of Pharmacologically Induced Mydriasis
Likmez,(metronidazole)  Oral Suspension  - formerly ATI-1501,"September 22, 2023","Appili Therapeutics Inc. and Saptalis Pharmaceuticals , LLC","Bacterial Infection, Trichomoniasis, Amebiasis"
Ojjaara,(momelotinib)  Tablets,"September 15, 2023",GSK,Myelofibrosis
Aphexda,(motixafortide)  Lyophilized Powder for Injection,"September 8, 2023",BioLineRx Ltd.,Hematopoietic Stem Cell Mobilization
Tyruko,(natalizumab-sztn)  Injection,"August 24, 2023",Sandoz Inc.,"Multiple Sclerosis, Crohn's Disease"
Eylea HD,(aflibercept)  Injection,"August 18, 2023","Regeneron Pharmaceuticals, Inc.","Macular Degeneration, Diabetic Macular Edema, Diabetic Retinopathy"
Veopoz,(pozelimab-bbfg)  Injection,"August 18, 2023","Regeneron Pharmaceuticals, Inc.",CHAPLE Disease
Sohonos,(palovarotene)  Capsules,"August 16, 2023",Ipsen,Fibrodysplasia Ossificans Progressiva
Elrexfio,(elranatamab-bcmm)  Injection,"August 14, 2023",Pfizer Inc.,Multiple Myeloma
Hepzato,(melphalan)  Lyophilized Powder for Injection,"August 14, 2023","Delcath Systems, Inc.",Uveal Melanoma
Akeega,(abiraterone acetate and niraparib)  Tablets,"August 11, 2023","Janssen Pharmaceuticals, Inc.",Prostate Cancer
Talvey,(talquetamab-tgvs)  Injection,"August 9, 2023",Janssen Pharmaceutical Companies of Johnson & Johnson,Multiple Myeloma
Izervay,(avacincaptad pegol)  Intravitreal Solution,"August 4, 2023","Iveric Bio, Inc.",Geographic Atrophy
Zurzuvae,(zuranolone)  Capsules,"August 4, 2023","Sage Therapeutics, Inc.",Postpartum Depression
RiVive,(naloxone hydrochloride)  Nasal Spray,"July 28, 2023","Harm Reduction Therapeutics, Inc.",Opioid Overdose
Balfaxar,"(prothrombin complex concentrate, human-lans)  Lyophilized Powder for Injection","July 21, 2023","Octapharma USA, Inc.",Warfarin Reversal in Urgent Surgery & Invasive Procedures
Xdemvy,(lotilaner)  Ophthalmic Solution  - formerly TP-03,"July 25, 2023","Tarsus Pharmaceuticals, Inc.",Demodex Blepharitis
Ycanth,(cantharidin)  Topical Solution  - formerly VP-102,"July 21, 2023",Verrica Pharmaceuticals Inc.,Molluscum Contagiosum
Vanflyta,(quizartinib)  Tablets,"July 20, 2023",Daiichi Sankyo,Acute Myeloid Leukemia
Cyfendus,"(anthrax vaccine adsorbed, adjuvanted)  Injection","July 20, 2023",Emergent BioSolutions Inc.,Anthrax Prophylaxis
Beyfortus,(nirsevimab-alip)  Injection,"July 17, 2023",AstraZeneca,RSV
Opill,(norgestrel)  Tablets,"July 13, 2023",Perrigo Company plc,Birth Control
Roctavian,(valoctocogene roxaparvovec-rvox)  Suspension for Intravenous Infusion,"June 29, 2023",BioMarin Pharmaceutical Inc.,Hemophilia A
Lantidra,(donislecel-jujn)  Cellular Suspension for Infusion,"June 28, 2023","CellTrans, Inc.","Diabetes, Type 1"
Ngenla,(somatrogon-ghla)  Injection,"June 27, 2023",Pfizer Inc.,Pediatric Growth Hormone Deficiency
Rystiggo,(rozanolixizumab-noli)  Injection,"June 26, 2023",UCB,Myasthenia Gravis
Litfulo,(ritlecitinib)  Capsules,"June 23, 2023",Pfizer Inc.,Alopecia
Elevidys,(delandistrogene moxeparvovec-rokl)  Suspension for Intravenous Infusion,"June 22, 2023","Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy
Suflave,"(polyethylene glycol 3350, sodium sulfate, potassium chloride, magnesium sulfate, and sodium chloride)  Powder for Oral Solution","June 15, 2023","Braintree Laboratories, Inc.",Bowel Preparation
Liqrev,(sildenafil citrate)  Oral Suspension,"April 28, 2023","CMP Pharma, Inc.",Pulmonary Arterial Hypertension
Lodoco,(colchicine)  Tablets,"June 16, 2023","AGEPHA Pharma USA, LLC",Cardiovascular Risk Reduction
Vyvgart Hytrulo,(efgartigimod alfa and hyaluronidase-qvfc)  Injection,"June 20, 2023","Halozyme Therapeutics, Inc.",Myasthenia Gravis
Columvi,(glofitamab-gxbm)  Injection,"June 15, 2023",Genentech,Diffuse Large B-Cell Lymphoma
Vevye,(cyclosporine)  Ophthalmic Solution  - formerly CyclASol,"May 30, 2023",Novaliq,Dry Eye Disease
Abrysvo,(respiratory syncytial virus vaccine)  Injection,"May 31, 2023","Pfizer, Inc.",RSV
Posluma,(flotufolastat F 18)  Injection,"May 25, 2023",Blue Earth Diagnostics,"Positron Emission Tomography Imaging, Diagnosis and Investigation"
Inpefa,(sotagliflozin)  Tablets,"May 26, 2023","Lexicon Pharmaceuticals, Inc.",Heart Failure
Paxlovid,(nirmatrelvir and ritonavir)  Tablets (co-packaged),"May 25, 2023",Pfizer Inc.,COVID-19
Yuflyma,(adalimumab-aaty)  Injection,"May 23, 2023",Celltrion USA,"rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn's disease, ulcerative colitis, plaque psoriasis, and hidradenitis suppurativa."
Xacduro,(sulbactam and durlobactam (co-packaged))  Kit for Injection,"May 23, 2023","Innoviva, Inc.",Acinetobacter Pneumonia
Brixadi,(buprenorphine)  Extended-Release Injection,"May 23, 2023",Braeburn Inc.,Opioid Use Disorder
Opvee,(nalmefene hydrochloride)  Nasal Spray,"May 22, 2023","Opiant Pharmaceuticals, Inc.",Opioid Overdose
Epkinly,(epcoritamab-bysp)  Injection,"May 19, 2023",AbbVie Inc.,Diffuse Large B-Cell Lymphoma
Vyjuvek,(beremagene geperpavec-svdt)  Topical Gel,"May 19, 2023","Krystal Biotech, Inc.",Epidermolysis Bullosa
Miebo,(perfluorohexyloctane)  Ophthalmic Solution  - formerly NOV03,"May 18, 2023",Bausch + Lomb Corporation and Novaliq,Dry Eye Disease
Skinvive by Juvederm,(hyaluronic acid and lidocaine)  Injectable Gel,"May 15, 2023",Abbvie,Facial Wrinkles
Veozah,(fezolinetant)  Tablets,"May 12, 2023",Astellas Pharma Inc.,"Menopausal Disorders, Hot Flashes"
Elfabrio,(pegunigalsidase alfa-iwxj)  Injection,"May 9, 2023","Protalix BioTherapeutics, Inc.",Fabry Disease
Mydcombi,(phenylephrine hydrochloride and tropicamide)  Ophthalmic Spray,"May 5, 2023","Eyenovia, Inc.",Pupillary Dilation
Arexvy,"(respiratory syncytial virus vaccine, adjuvanted)  Suspension for Intramuscular Injection","May 3, 2023",GlaxoSmithKline,Prevention of RSV Infection
Lumryz,(sodium oxybate)  Granules for Extended-Release Oral Suspension,"May 1, 2023",Avadel Pharmaceuticals plc,Narcolepsy
Abilify Asimtufii,(aripiprazole)  Extended-Release Injectable Suspension,"April 27, 2023","Otsuka Pharmaceutical Co., Ltd.","Schizophrenia, Bipolar Disorder"
Uzedy,(risperidone)  Extended-Release Injectable Suspension,"April 28, 2023",Teva Pharmaceuticals and MedinCell,Schizophrenia
Vowst,"(fecal microbiota spores, live-brpk)  Capsules  - formerly SER-109","April 26, 2023","Seres Therapeutics, Inc.",Prevention of Recurrent Clostridioides difficile Infection
Qalsody,(tofersen)  Injection,"April 25, 2023",Biogen Inc.,Amyotrophic Lateral Sclerosis
Omisirge,(omidubicel-onlv)  Suspension for Infusion,"April 17, 2023",Gamida Cell Ltd.,Stem Cell Therapy
RizaFilm,(rizatriptan)  Oral Film,"April 14, 2023",IntelGenx Corp.,Migraine
Joenja,(leniolisib)  Tablets,"March 24, 2023",Pharming Group N.V.,Activated PI3K-Delta Syndrome
Rezzayo,(rezafungin)  Powder for Injection,"March 22, 2023","Cidara Therapeutics, Inc.","Candidemia, Systemic Candidiasis"
Zynyz,(retifanlimab-dlwr)  Injection,"March 22, 2023",Incyte,Merkel Cell Carcinoma
Daybue,(trofinetide)  Oral Solution,"March 10, 2023",Acadia Pharmaceuticals Inc.,Rett Syndrome
Zavzpret,(zavegepant)  Nasal Spray,"March 9, 2023",Pfizer Inc.,Migraine
Skyclarys,(omaveloxolone)  Capsules,"February 28, 2023","Reata Pharmaceuticals, Inc.",Friedreich’s Ataxia
Altuviiio,"(antihemophilic factor recombinant, Fc-VWF-XTEN fusion protein-ehtl)  Lyophilized Powder for Injection","February 22, 2023",Sanofi,Hemophilia A
Syfovre,(pegcetacoplan)  Injection,"February 17, 2023","Apellis Pharmaceuticals, Inc.",Macular Degeneration
Filspari,(sparsentan)  Tablets,"February 17, 2023","Travere Therapeutics, Inc.",Primary Immunoglobulin A Nephropathy
Lamzede,(velmanase alfa-tycv)  Lyophilized Powder for Injection,"February 16, 2023",Chiesi Global Rare Diseases,Alpha-Mannosidosis
Jesduvroq,(daprodustat)  Tablets,"February 1, 2023",GlaxoSmithKline,Anemia Due to Chronic Kidney Disease
Orserdu,(elacestrant)  Tablets,"January 27, 2023",Menarini Group,Breast Cancer
Jaypirca,(pirtobrutinib)  Tablets,"January 27, 2023",Eli Lilly and Company,"Mantle Cell Lymphoma, Chronic Lymphocytic Leukemia"
Brenzavvy,(bexagliflozin)  Tablets,"January 20, 2023","TheracosBio, LLC","Diabetes, Type 2"
Rykindo,(risperidone)  for Extended-Release Injectable Suspension,"January 13, 2023",Luye Pharma Group,"Schizophrenia, Bipolar Disorder"
Airsupra,(albuterol and budesonide)  Inhalation Aerosol,"January 10, 2023",AstraZeneca Pharmaceuticals LP,Asthma
Leqembi,(lecanemab-irmb)  Injection,"January 6, 2023","Biogen Inc. and Eisai Co., Ltd.",Alzheimer's Disease
NexoBrid,(anacaulase-bcdb)  for Topical Gel,"December 28, 2022",MediWound Ltd.,Thermal Burn
Briumvi,(ublituximab-xiiy)  Injection,"December 28, 2022","TG Therapeutics, Inc.",Multiple Sclerosis
Xenoview,(xenon Xe 129 hyperpolarized)  for Oral Inhalation,"December 23, 2022",Polarean Imaging plc,"Diagnosis and Investigation, Imaging of Lung"
Olpruva,(sodium phenylbutyrate)  for Oral Suspension  - formerly ACER-001,"December 22, 2022",Acer Therapeutics Inc.,Urea Cycle Disorders
Lunsumio,(mosunetuzumab-axgb)  Injection,"December 22, 2022",Genentech,Follicular Lymphoma
Sunlenca,(lenacapavir)  Injection and Tablets,"December 22, 2022","Gilead Sciences, Inc.",HIV Infection
Adstiladrin,(nadofaragene firadenovec-vncg)  Suspension for Intravesical Use,"December 16, 2022",Ferring Pharmaceuticals,Bladder Cancer
Idacio,(adalimumab-aacf)  Injection,"December 13, 2022",Fresenius Kabi,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Iyuzeh,(latanoprost)  Ophthalmic Solution,"December 13, 2022","Thea Pharma, Inc.","Intraocular Hypertension, Glaucoma, Open Angle"
Krazati,(adagrasib)  Tablets,"December 12, 2022","Mirati Therapeutics, Inc.",Non-Small Cell Lung Cancer
Rezlidhia,(olutasidenib)  Capsules,"December 1, 2022",Forma Therapeutics,Acute Myeloid Leukemia
Rebyota,"(fecal microbiota, live-jslm)  Suspension for Rectal Use  - formerly RBX2660","November 30, 2022",Ferring Pharmaceuticals Inc.,Prevention of Recurrent Clostridioides difficile Infection
Hemgenix,(etranacogene dezaparvovec-drlb)  Suspension for Intravenous Infusion,"November 22, 2022",CSL,Hemophilia B
Sezaby,(phenobarbital sodium)  Powder for Injection,"November 17, 2022",Sun Pharmaceutical Industries Limited,Neonatal Seizures
Tzield,(teplizumab-mzwv)  Injection,"November 17, 2022","Provention Bio, Inc.",Delaying the Onset of Stage 3 Type 1 Diabetes
Elahere,(mirvetuximab soravtansine-gynx)  Injection,"November 14, 2022","ImmunoGen, Inc.","Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Tecvayli,(teclistamab-cqyv)  Injection,"October 25, 2022",Janssen Pharmaceutical Companies of Johnson & Johnson,Multiple Myeloma
Imjudo,(tremelimumab-actl)  Injection,"October 21, 2022",AstraZeneca,"Hepatocellular Carcinoma, Non-Small Cell Lung Cancer"
Furoscix,(furosemide)  Injection,"October 7, 2022","scPharmaceuticals, Inc.",Heart Failure
Lytgobi,(futibatinib)  Tablets,"September 30, 2022","Taiho Oncology, Inc.",Cholangiocarcinoma
Relyvrio,(sodium phenylbutyrate and taurursodiol)  Powder for Oral Suspension  - formerly AMX0035,"September 29, 2022","Amylyx Pharmaceuticals, Inc.",Amyotrophic Lateral Sclerosis
Vegzelma,(bevacizumab-adcd)  Injection,"September 27, 2022",Celltrion USA,"Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Iheezo,(chloroprocaine hydrochloride)  Ophthalmic Gel,"September 27, 2022",Harrow,Ocular Surface Anesthesia
Omlonti,(omidenepag isopropyl)  Ophthalmic Solution,"September 22, 2022",Santen Inc.,Glaucoma/Intraocular Hypertension
Pedmark,(sodium thiosulfate)  Injection,"September 20, 2022",Fennec Pharmaceuticals Inc.,Prevention of Cisplatin-Induced Ototoxicity
Elucirem,(gadopiclenol)  Injection,"September 21, 2022",Guerbet,Diagnosis and Investigation
Skysona,(elivaldogene autotemcel)  Suspension for Intravenous Infusion,"September 16, 2022","bluebird bio, Inc.",Cerebral Adrenoleukodystrophy
Aponvie,(aprepitant)  Injection  - formerly HTX-019,"September 16, 2022","Heron Therapeutics, Inc.","Nausea/Vomiting, Postoperative"
Terlivaz,(terlipressin)  Lyophilized Powder for Injection,"September 14, 2022",Mallinckrodt plc,Hepatorenal Syndrome
Rolvedon,(eflapegrastim-xnst)  Injection  - formerly Rolontis,"September 9, 2022","Spectrum Pharmaceuticals, Inc.",Neutropenia Associated with Chemotherapy
Sotyktu,(deucravacitinib)  Tablets,"September 9, 2022",Bristol Myers Squibb,Plaque Psoriasis
Daxxify,(daxibotulinumtoxinA-lanm)  Lyophilized Powder for Injection,"September 7, 2022","Revance Therapeutics, Inc.","Glabellar Lines, Cervical Dystonia"
Stimufend,(pegfilgrastim-fpgk)  Injection,"September 1, 2022",Fresenius Kabi,"Neutropenia Associated with Chemotherapy, Neutropenia Associated with Radiation"
Spevigo,(spesolimab-sbzo)  Injection,"September 1, 2022",Boehringer Ingelheim,Generalized Pustular Psoriasis
Konvomep,(omeprazole and sodium bicarbonate)  Powder for Oral Suspension,"August 30, 2022","Azurity Pharmaceuticals, Inc.","Stomach Ulcer, Gastrointestinal Hemorrhage"
Xenpozyme,(olipudase alfa)  Lyophilized Powder for Injection,"August 31, 2022",Sanofi,Acid Sphingomyelinase Deficiency
Auvelity,(dextromethorphan and bupropion)  Extended-Release Tablets  - formerly AXS-05,"August 18, 2022","Axsome Therapeutics, Inc.",Major Depressive Disorder
Zynteglo,(betibeglogene autotemcel)  Suspension for Intravenous Infusion,"August 17, 2022","Bluebird Bio, Inc.",Beta Thalassemia
Cimerli,(ranibizumab-eqrn)  Intravitreal Injection,"August 2, 2022","Coherus BioSciences, Inc.","Macular Degeneration, Macular Edema, Diabetic Macular Edema, Diabetic Retinopathy, Myopic Choroidal Neovascularization"
Kyzatrex,(testosterone undecanoate)  Capsules,"July 27, 2022",Marius Pharmaceuticals,"Hypogonadism, Male"
Zoryve,(roflumilast)  Cream and Foam,"July 29, 2022","Arcutis Biotherapeutics, Inc.","Plaque Psoriasis, Seborrheic Dermatitis"
Zonisade,(zonisamide)  Oral Suspension,"July 15, 2022","Azurity Pharmaceuticals, Inc.",Seizures
Bludigo,(indigotindisulfonate sodium)  Injection,"July 8, 2022",Provepharm,Diagnosis and Investigation
Amvuttra,(vutrisiran)  Injection,"June 13, 2022","Alnylam Pharmaceuticals, Inc.",Hereditary Amyloidosis
Priorix,"(measles, mumps, and rubella virus vaccine, live)  Injection","June 3, 2022",GSK,"Measles Prophylaxis, Mumps Prophylaxis, Rubella Prophylaxis"
Fylnetra,(pegfilgrastim-pbbk)  Injection,"May 26, 2022","Amneal Pharmaceuticals, Inc.",Neutropenia Associated with Chemotherapy
Vtama,(tapinarof)  Cream,"May 23, 2022",Dermavant Sciences,Plaque Psoriasis
Mounjaro,(tirzepatide)  Injection,"May 13, 2022",Eli Lilly and Company,"Diabetes, Type 2"
Radicava ORS,(edaravone)  Oral Suspension,"May 12, 2022",Mitsubishi Tanabe Pharma Corporation,Amyotrophic Lateral Sclerosis
Voquezna Triple Pak,"(amoxicillin, clarithromycin, and vonoprazan)  Co-Packaged Capsules and Tablets","May 3, 2022","Phathom Pharmaceuticals, Inc.",Helicobacter Pylori Infection
Cuvrior,(trientine tetrahydrochloride)  Tablets,"April 28, 2022",Orphalan SA,Wilson's Disease
Camzyos,(mavacamten)  Capsules,"April 28, 2022",Bristol Myers Squibb,Hypertrophic Cardiomyopathy
Vivjoa,(oteseconazole)  Capsules,"April 26, 2022","Mycovia Pharmaceuticals, Inc.",Vaginal Yeast Infection
Epsolay,(benzoyl peroxide)  Cream,"April 22, 2022","Sol-Gel Technologies, Ltd.",Rosacea
Alymsys,(bevacizumab-maly)  Injection,"April 13, 2022","Amneal Pharmaceuticals, Inc.","Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Igalmi,(dexmedetomidine)  Sublingual Film,"April 5, 2022","BioXcel Therapeutics, Inc.",Agitation
Vijoice,(alpelisib)  Tablets,"April 5, 2022",Novartis,PIK3CA-Related Overgrowth Spectrum
Hyftor,(sirolimus)  Topical Gel,"March 22, 2022","Nobelpharma America, LLC",Facial Angiofibroma Associated with Tuberous Sclerosis
Tlando,(testosterone)  Capsules,"March 28, 2022","Antares Pharma, Inc.","Hypogonadism, Male"
Pluvicto,(lutetium lu 177 vipivotide tetraxetan)  Injection,"March 23, 2022",Novartis,Prostate Cancer
Locametz,(gallium Ga 68 gozetotide)  Injection,"March 23, 2022",Novartis Pharmaceuticals Corporation,Positron Emission Tomography Imaging
Xelstrym,(dextroamphetamine)  Transdermal System,"March 22, 2022","Noven Pharmaceuticals, Inc.",ADHD
Opdualag,(nivolumab and relatlimab-rmbw)  Injection,"March 18, 2022",Bristol Myers Squibb,Melanoma
Ztalmy,(ganaxolone)  Oral Suspension,"March 18, 2022","Marinus Pharmaceuticals, Inc.",CDKL5 Deficiency Disorder
Nasonex 24HR Allergy,(mometasone furoate monohydrate)  Nasal Spray,"March 17, 2022",Perrigo Company plc,Allergic Rhinitis
Adlarity,(donepezil)  Transdermal System,"March 11, 2022","Corium, Inc.",Alzheimer's Disease
Releuko,(filgrastim-ayow)  Injection,"February 25, 2022","Kashiv BioSciences, LLC","Neutropenia Associated with Chemotherapy, Neutropenia"
Vonjo,(pacritinib)  Capsules,"February 28, 2022",CTI BioPharma Corp.,Myelofibrosis
Norliqva,(amlodipine besylate)  Oral Solution,"February 24, 2022","CMP Pharma, Inc.","High Blood Pressure, Coronary Artery Disease, Angina"
Carvykti,(ciltacabtagene autoleucel)  Suspension for Intravenous Infusion,"February 28, 2022",Janssen Pharmaceutical Companies,Multiple Myeloma
NephroScan,(technetium Tc 99m succimer)  Injection Kit,"February 22, 2022",Diagnosis and Investigation
Pyrukynd,(mitapivat)  Tablets,"February 17, 2022","Agios Pharmaceuticals, Inc.",Pyruvate Kinase Deficiency
Fleqsuvy,(baclofen)  Oral Suspension,"February 4, 2022","Azurity Pharmaceuticals, Inc.",Spasticity
Enjaymo,(sutimlimab-jome)  Injection,"February 4, 2022",Sanofi,Cold Agglutinin Disease
Spikevax (Moderna COVID-19 Vaccine),"(COVID-19 Vaccine, mRNA)  Injection","January 31, 2022","Moderna, Inc.",Prevention of COVID-19
Vabysmo,(faricimab-svoa)  Intravitreal Injection,"January 28, 2022",Genentech,"Macular Degeneration, Diabetic Macular Edema, Macular Edema"
Kimmtrak,(tebentafusp-tebn)  Injection,"January 25, 2022",Immunocore,Uveal Melanoma
Ryaltris,(mometasone furoate and olopatadine hydrochloride)  Nasal Spray,"January 13, 2022","Glenmark Pharmaceuticals, Inc.",Allergic Rhinitis
Cibinqo,(abrocitinib)  Tablets,"January 14, 2022",Pfizer Inc.,Atopic Dermatitis
Quviviq,(daridorexant)  Tablets,"January 7, 2022",Idorsia Ltd.,Insomnia
Recorlev,(levoketoconazole)  Capsules,"December 30, 2021",Xeris Biopharma Holdings,Cushing's Syndrome
Adbry,(tralokinumab-ldrm)  Injection,"December 27, 2021",LEO Pharma Inc.,Atopic Dermatitis
Leqvio,(inclisiran)  Injection,"December 22, 2021",Novartis,"High Cholesterol, Familial Heterozygous"
Illuccix,(gallium Ga 68 gozetotide)  Injection Kit,"December 17, 2021","Telix Pharmaceutical, Inc.",Positron Emission Tomography Imaging
Apretude,(cabotegravir)  Extended-Release Injectable Suspension,"December 20, 2021",ViiV Healthcare,Pre-Exposure Prophylaxis
Yusimry,(adalimumab-aqvh)  Injection,"December 17, 2021","Coherus BioSciences, Inc.","Rheumatoid Arthritis, Juvenile Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis"
Vyvgart,(efgartigimod alfa-fcab)  Injection,"December 17, 2021",argenx SE,Myasthenia Gravis
Tezspire,(tezepelumab-ekko)  Injection,"December 17, 2021",Amgen and AstraZeneca,Asthma
Dartisla ODT,(glycopyrrolate)  Orally Disintegrating Tablets,"December 16, 2021","Edenbridge Pharmaceuticals, LLC",Peptic Ulcer
Tarpeyo,(budesonide)  Delayed Release Capsules  - formerly Nefecon,"December 15, 2021",Calliditas Therapeutics AB,Primary Immunoglobulin A Nephropathy
Entadfi,(finasteride and tadalafil)  Capsules,"December 9, 2021",Veru Inc.,Benign Prostatic Hyperplasia
Xaciato,(clindamycin phosphate)  Vaginal Gel  - formerly DARE-BV1,"December 7, 2021","Daré Bioscience, Inc.",Bacterial Vaginosis
Lyvispah,(baclofen)  Oral Granules,"November 22, 2021","Saol Therapeutics, Inc.",Spasticity
PreHevbrio,(hepatitis B vaccine (recombinant))  Injection,"November 30, 2021",VBI Vaccines Inc.,Hepatitis B Prevention
Cytalux,(pafolacianine)  Injection,"November 29, 2021","On Target Laboratories, Inc.",Identification of Ovarian Cancer During Surgery
